Ref AMM,Detection Rule,Contract Address,Contract Name,Transactions,Transactions (More),Price-related Function,Price Oracle Contract Address,Price Oracle Contract Name,Line,Vulnerable (TP),Short Reason,Comments,Currently Vulnerable,Disclosure Progress
Uniswap,RT,0xe83554b397bda8ecae7fee5aee532e83ee9eb29d,UniswapV2_ZapIn_General_V2_4_2,0x09f456a2ae002a8eeace5179f95510c5a2659bcf345b17583773e0e7e6871b15,0x86894bd81388a6e2a4f39d4bc9aafa2b380372b56d375027b613f2747517bf8e,getReserves,0xe83554b397bda8ecae7fee5aee532e83ee9eb29d,UniswapV2_ZapIn_General_V2_4_2,1028,N,Direct operation on AMM (add liquidity),Calculate how many tokens are needed before adding liquidity.,N,N/A
Uniswap,RT,,,,,getReserves,,,,Y,User's reward depends on Uniswap pool state,Calculate how many LP tokens can be obtained for a given amount of ETH.,Y,Contacting admin
Uniswap,RT,0x70a87e1b97436d2f194b8b9ebf337bfc7521c70f,Pool,0x411fa378cf7a5aa96556e386d51488c41765332fb9577eb22806464d22239a59,0xa0670d492b7bc09c8a60b142a249b4a524109b1a7c7cd50258cd587cc4b7db89,getReserves,0x70a87e1b97436d2f194b8b9ebf337bfc7521c70f,Pool,2416,N,Direct operation on AMM (add liquidity),"The entry function is ""provide(uint256 value)"".",N,N/A
Uniswap,RT,0x19b3eb3af5d93b77a5619b047de0eed7115a19e7,Proxy -> GnosisSafe,0x4b79b3edf08a29b75df3e0ac85e0f14ce646c4a20d42ca5678076633ad63575e,0x79e781b436e9143259430be9e0a37018d1a17592ec046e423049206b012b8035,getReserves,0x728bbe9bbee3af78ad611315076621865950b344,N/A,N/A,N,Direct operation on AMM (swap),Price oracle contract is closed source.,N,N/A
Uniswap,RT,,,,,getReserves,,,,Y,Unstake amount of LP tokens depends on Uniswap pool state,,Y,Admin acknowledged
Uniswap,RT,0xaf0d451ff07031765f7a6b77deb52c5ba9f3c58b,Proxy -> GnosisSafe,0x7c7f4f0a10f214e4ca6e18e3b1b336c06104587c4d40249921f175761a23796a,,getReserves,0x728bbe9bbee3af78ad611315076621865950b344,N/A,N/A,N,Direct operation on AMM (swap),Price oracle contract is closed source.,N,N/A
Uniswap,RT,0xe33377bcc205a3b0a9805ded6da29cd451af05c2,DSProxy -> CompoundFlashLoanTaker,0x806c827f1a0832f29986a6d328f9ff0819819478216994fc670c1c2f400f9bd3,,getReserves,0xf164fc0ec4e93095b804a4795bbe1e041497b92a,UniswapV2Router01,160,N,From UniswapV2Router01 router,,N,N/A
Uniswap,RT,0x68a98b6d6a2d1a69b5158745a578cdf46c416043,Proxy -> OneInchExchange,0x83c3298e65b5369c909af633b840fdcf25a96270d212db807fa50a932473e462,,getReserves,0x728bbe9bbee3af78ad611315076621865950b344,N/A,N/A,N,Direct operation on AMM (swap),Price oracle contract is closed source.,N,N/A
Uniswap,RT,0xb903640c289d4fc7a520b6cee419b59c77fb69c8,DrainMaster -> MasterVampire.drain,0x8b08c722ff882670ba84724bd8e29226647a917f293b9071731b60df90153147,0x8f46aca295a6be83d01df5933d1a893aa642edad4560fc80e1128be6f8fe906c,getReserves,0x2e813f2e524db699d279e631b0f2117856eb902c,priceIsUnderRejectionThreshold,375,N,"It will not allow amount of Weth become too high, which is kind of anti-flashloan, 
also it directly manipulate on AMM pools, this considered FP.",,N,N/A
Uniswap,RT,0x58aeef2835148538eb5dbd335ee092755ee239a3,DSProxy -> MCDSaverTaker,0x93f70d8d10a2240d3a7a81ef1c236bddcc8ac50f723042b14d20d368817c789d,0xd92c6a2e872420854d5f5f621dad336e276498c420e37072099246978c42bb9c,getReserves,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,UniswapV2Router02,705,N,From UniswapV2Router02 router (swapExactTokensForETH),"Two txs detected, both call getReserves inside swapExactTokensForETH.",N,N/A
